PLUKKLISTE 8
Pl.listenr;PlLinjeNr;Prioritet;Fra butikk;Til butikk;Listenavn;BuntNr;ArtikkelNr;LevKod;Beskr;LevFargKod;Antall;AntallPlukket;Diff;Størrelse;StrKode;VarGr;Plukket;Overført;Endret
8;299106;0;20;15;Overf. til eCom Salg;0;9857541;8030040;O2. HERRINGBONE TEXTURE CREW;34;1;0;1; L;69;180002;?;?;16/01/19
8;299107;0;20;15;Overf. til eCom Salg;0;9854592;3052212;O3. TP ROYAL OXFORD SLIM BD;512;1;0;1; L;69;160051;?;?;16/01/19
