R1;40;401200;7325700862745;SUNBLEACHED C-NECK SWEAT;423;423;XS;;40;Stk;;345,00;;10,0000;;1000,00;WOMEN;;;;;170031;Gant Global AB;401200;345,00;;;;;;1000,00;;201601;401200-423.jpg;nConcept=4|cConceptname=BASIC|SeqNrStr=20;;;;;;;;;;;;;15;;;;no;0;no;no;;;;;;;;;;;;;;;;;;;;;;;;164,46;;;;;;;;;;0;;;;;;;0;
R1;40;401200;7325700862752;SUNBLEACHED C-NECK SWEAT;423;423; S;;40;Stk;;345,00;;10,0000;;1000,00;WOMEN;;;;;170031;Gant Global AB;401200;345,00;;;;;;1000,00;;201601;401200-423.jpg;nConcept=4|cConceptname=BASIC|SeqNrStr=30;;;;;;;;;;;;;15;;;;no;0;no;no;;;;;;;;;;;;;;;;;;;;;;;;164,46;;;;;;;;;;0;;;;;;;0;
R1;40;401200;7325700862769;SUNBLEACHED C-NECK SWEAT;423;423; M;;40;Stk;;345,00;;10,0000;;1000,00;WOMEN;;;;;170031;Gant Global AB;401200;345,00;;;;;;1000,00;;201601;401200-423.jpg;nConcept=4|cConceptname=BASIC|SeqNrStr=40;;;;;;;;;;;;;15;;;;no;0;no;no;;;;;;;;;;;;;;;;;;;;;;;;164,46;;;;;;;;;;0;;;;;;;0;
R1;40;401200;7325700862776;SUNBLEACHED C-NECK SWEAT;423;423; L;;40;Stk;;345,00;;10,0000;;1000,00;WOMEN;;;;;170031;Gant Global AB;401200;345,00;;;;;;1000,00;;201601;401200-423.jpg;nConcept=4|cConceptname=BASIC|SeqNrStr=50;;;;;;;;;;;;;15;;;;no;0;no;no;;;;;;;;;;;;;;;;;;;;;;;;164,46;;;;;;;;;;0;;;;;;;0;
R1;40;401200;7325700862820;SUNBLEACHED C-NECK SWEAT;451;451;XS;;40;Stk;;345,00;;10,0000;;1000,00;WOMEN;;;;;170031;Gant Global AB;401200;345,00;;;;;;1000,00;;201601;401200-451.jpg;nConcept=4|cConceptname=BASIC|SeqNrStr=20;;;;;;;;;;;;;15;;;;no;0;no;no;;;;;;;;;;;;;;;;;;;;;;;;164,46;;;;;;;;;;0;;;;;;;0;
R1;40;401200;7325700862837;SUNBLEACHED C-NECK SWEAT;451;451; S;;40;Stk;;345,00;;10,0000;;1000,00;WOMEN;;;;;170031;Gant Global AB;401200;345,00;;;;;;1000,00;;201601;401200-451.jpg;nConcept=4|cConceptname=BASIC|SeqNrStr=30;;;;;;;;;;;;;15;;;;no;0;no;no;;;;;;;;;;;;;;;;;;;;;;;;164,46;;;;;;;;;;0;;;;;;;0;
R1;40;401200;7325700862844;SUNBLEACHED C-NECK SWEAT;451;451; M;;40;Stk;;345,00;;10,0000;;1000,00;WOMEN;;;;;170031;Gant Global AB;401200;345,00;;;;;;1000,00;;201601;401200-451.jpg;nConcept=4|cConceptname=BASIC|SeqNrStr=40;;;;;;;;;;;;;15;;;;no;0;no;no;;;;;;;;;;;;;;;;;;;;;;;;164,46;;;;;;;;;;0;;;;;;;0;
R1;40;401200;7325700862851;SUNBLEACHED C-NECK SWEAT;451;451; L;;40;Stk;;345,00;;10,0000;;1000,00;WOMEN;;;;;170031;Gant Global AB;401200;345,00;;;;;;1000,00;;201601;401200-451.jpg;nConcept=4|cConceptname=BASIC|SeqNrStr=50;;;;;;;;;;;;;15;;;;no;0;no;no;;;;;;;;;;;;;;;;;;;;;;;;164,46;;;;;;;;;;0;;;;;;;0;
R1;40;401200;7325700972697;SUNBLEACHED C-NECK SWEAT;654;654;XS;;40;Stk;;345,00;;10,0000;;1000,00;WOMEN;;;;;170031;Gant Global AB;401200;345,00;;;;;;1000,00;;201601;401200-654.jpg;nConcept=4|cConceptname=BASIC|SeqNrStr=20;;;;;;;;;;;;;15;;;;no;0;no;no;;;;;;;;;;;;;;;;;;;;;;;;164,46;;;;;;;;;;0;;;;;;;0;
R1;40;401200;7325700972703;SUNBLEACHED C-NECK SWEAT;654;654; S;;40;Stk;;345,00;;10,0000;;1000,00;WOMEN;;;;;170031;Gant Global AB;401200;345,00;;;;;;1000,00;;201601;401200-654.jpg;nConcept=4|cConceptname=BASIC|SeqNrStr=30;;;;;;;;;;;;;15;;;;no;0;no;no;;;;;;;;;;;;;;;;;;;;;;;;164,46;;;;;;;;;;0;;;;;;;0;
