Butikk;Artikkelnr;Vg/LøpNr;Lev.art.Nr;Varetekst;Lev.farge;Str;AntPar;AntTalt;Salgsverdi;VVAreKost;Rabatt;AntDiff;VerdiDiff;Pris;Tilb.pris;Oppdatert;Strekkode;OpprVerdi;OpptaltVerdi;Sesong;Avd;Avd beskr;Hg;Hg beskr;Vg;Vg beskr;Levnr;Leverandør;EndretDato;BrukerId
40;9839180;100063/8;75416;R. THE CURLY COAT;433; S;1;1;0;650;0;1;650;2730;0;Nei;7325700353113;650;0;201503;1;Øvrige;100;OUTERWEAR;100063;SYNTETHIC FIBER COAT;40;GANT AB;31.01.2019;tomn
40;9839181;100063/9;75416;R. THE CURLY COAT;827; L;1;1;0;650;0;1;650;2730;0;Nei;7325700353267;650;0;201503;1;Øvrige;100;OUTERWEAR;100063;SYNTETHIC FIBER COAT;40;GANT AB;31.01.2019;tomn
40;9844141;120091/5;77039;R2. BOMBER SUIT JACKET;5;50;4;4;0;650;0;4;2600;2730;0;Nei;7325701085402;2600;0;201603;1;Øvrige;120;BLAZERS;120091;SYNTHETIC;40;GANT AB;31.01.2019;tomn
40;9844141;120091/5;77039;R2. BOMBER SUIT JACKET;5;52;2;2;0;650;0;2;1300;2730;0;Nei;7325701085419;1300;0;201603;1;Øvrige;120;BLAZERS;120091;SYNTHETIC;40;GANT AB;31.01.2019;tomn
40;9844141;120091/5;77039;R2. BOMBER SUIT JACKET;5;48;1;1;0;650;0;1;650;2730;0;Nei;7325701085396;650;0;201603;1;Øvrige;120;BLAZERS;120091;SYNTHETIC;40;GANT AB;31.01.2019;tomn
40;9844141;120091/5;77039;R2. BOMBER SUIT JACKET;5;54;1;1;0;650;0;1;650;2730;0;Nei;7325701085426;650;0;201603;1;Øvrige;120;BLAZERS;120091;SYNTHETIC;40;GANT AB;31.01.2019;tomn
40;9838174;710001/378;96801;SOFT COTTON  SOCKS 3-PACK;95;ONESIZE;5;5;0;54;0;5;270;182;0;Nei;7325700516631;270;0;201601;1;Øvrige;710;ACC-MEN;710001;LUGGAGE;40;GANT AB;31.01.2019;tomn
40;9833168;710001/328;96801;SOFT COTTON  SOCKS 3-PACK;91;ONESIZE;1;1;1050;51;0;-5;-255;175;0;Nei;7332972392849;51;306;201601;1;Øvrige;710;ACC-MEN;710001;LUGGAGE;40;GANT AB;31.01.2019;tomn
40;9840131;160041/290;359900;SOLID OXFORD REG BD;468; S;18;18;11900;238,64;0;1;238,64;700;0;Nei;7325700961387;4295,6046;4056,88;201903;1;Øvrige;160;SHIRTS;160041;SFA3;40;GANT AB;31.01.2019;tomn
40;9840131;160041/290;359900;SOLID OXFORD REG BD;468; M;61;61;43400;238,64;0;-1;-238,64;700;0;Nei;7325700961394;14557,3267;14795,68;201903;1;Øvrige;160;SHIRTS;160041;SFA3;40;GANT AB;31.01.2019;tomn
40;9850264;101024/36;851014203;STRIPE NOTE DOUBLE DUVET;110;200X220;36;36;64575;408,5;0;-5;-2042,5;1575;0;Nei;7310845491813;14706;16748,5;201801;2;Home;101;GIFTS-Home;101024;D/D PRINTED;40;GANT AB;31.01.2019;tomn
