PLUKKLISTE 1
Pl.listenr;PlLinjeNr;Prioritet;Fra butikk;Til butikk;Listenavn;BuntNr;ArtikkelNr;LevKod;Beskr;LevFargKod;Antall;AntallPlukket;Diff;Størrelse;StrKode;VarGr;Plukket;Overført;Endret
1;3;0;170;0;sdgsd;0;1704900;;Anatomic LV LADY jakke;Lysblå/brun;1;1;0;XXXS;692;2302;?;?;19/09/12
1;4;0;170;0;sdgsd;0;1704900;;Anatomic LV LADY jakke;Lysblå/brun;1;1;0; XXS;65;2302;?;?;19/09/12
1;6;0;170;0;sdgsd;0;1704900;;Anatomic LV LADY jakke;Lysblå/brun;2;2;0; S;67;2302;?;?;19/09/12
1;7;0;170;0;sdgsd;0;1704900;;Anatomic LV LADY jakke;Lysblå/brun;1;1;0; M;68;2302;?;?;19/09/12
1;8;0;170;0;sdgsd;0;1704900;;Anatomic LV LADY jakke;Lysblå/brun;1;1;0; L;69;2302;?;?;19/09/12
